epoch,train_loss,validation_loss
1.0,1.0476148128509521,1.1608705520629883
2.0,1.044577717781067,1.1589641571044922
3.0,1.0419286489486694,1.1573072671890259
4.0,1.0390841960906982,1.1553198099136353
5.0,1.0364023447036743,1.1532468795776367
6.0,1.0334851741790771,1.1509952545166016
7.0,1.0305689573287964,1.1484466791152954
8.0,1.0279126167297363,1.1459846496582031
9.0,1.0251283645629883,1.1430654525756836
10.0,1.0224591493606567,1.1400991678237915
11.0,1.020249843597412,1.1373951435089111
12.0,1.018186330795288,1.1346365213394165
13.0,1.016398549079895,1.132041573524475
14.0,1.0145859718322754,1.1290181875228882
15.0,1.0130475759506226,1.1262385845184326
16.0,1.0117727518081665,1.1237528324127197
17.0,1.0107016563415527,1.1215360164642334
18.0,1.0098638534545898,1.119741439819336
19.0,1.0090988874435425,1.1180028915405273
20.0,1.008415937423706,1.1163461208343506
21.0,1.0078864097595215,1.114999532699585
22.0,1.007386565208435,1.1136494874954224
23.0,1.0070263147354126,1.1126430034637451
24.0,1.0066806077957153,1.1116292476654053
25.0,1.0064442157745361,1.1109158992767334
26.0,1.0062596797943115,1.1103464365005493
27.0,1.006086826324463,1.1097955703735352
28.0,1.0059551000595093,1.1093671321868896
29.0,1.0058404207229614,1.1089859008789062
30.0,1.0057498216629028,1.1086797714233398
31.0,1.0056706666946411,1.1084052324295044
32.0,1.0056087970733643,1.1081880331039429
33.0,1.0055489540100098,1.107974648475647
34.0,1.005500078201294,1.1077985763549805
35.0,1.0054528713226318,1.1076254844665527
36.0,1.0054168701171875,1.1074917316436768
37.0,1.00538170337677,1.1073589324951172
38.0,1.0053507089614868,1.1072418689727783
39.0,1.0053237676620483,1.1071386337280273
40.0,1.005294919013977,1.1070261001586914
41.0,1.0052707195281982,1.106931447982788
42.0,1.0052412748336792,1.106811285018921
43.0,1.005218744277954,1.1067191362380981
44.0,1.005196213722229,1.1066267490386963
45.0,1.0051780939102173,1.1065521240234375
46.0,1.0051615238189697,1.106484293937683
47.0,1.005143642425537,1.1064088344573975
48.0,1.0051296949386597,1.106350302696228
49.0,1.0051157474517822,1.1062902212142944
50.0,1.0051021575927734,1.106231689453125
51.0,1.0050890445709229,1.1061736345291138
52.0,1.0050791501998901,1.106129765510559
53.0,1.0050685405731201,1.1060823202133179
54.0,1.0050601959228516,1.1060458421707153
55.0,1.0050519704818726,1.1060088872909546
56.0,1.0050442218780518,1.1059741973876953
57.0,1.0050359964370728,1.1059376001358032
58.0,1.0050281286239624,1.1059006452560425
59.0,1.0050209760665894,1.1058681011199951
60.0,1.005014181137085,1.1058361530303955
61.0,1.005008578300476,1.105811357498169
62.0,1.0050028562545776,1.105784296989441
63.0,1.0049968957901,1.1057565212249756
64.0,1.0049917697906494,1.1057325601577759
65.0,1.0049864053726196,1.1057072877883911
66.0,1.0049809217453003,1.1056803464889526
67.0,1.0049762725830078,1.1056581735610962
68.0,1.004970669746399,1.1056296825408936
69.0,1.004966139793396,1.1056076288223267
70.0,1.0049618482589722,1.105586290359497
71.0,1.0049574375152588,1.1055641174316406
72.0,1.0049537420272827,1.1055452823638916
73.0,1.0049502849578857,1.1055281162261963
74.0,1.0049469470977783,1.105510950088501
75.0,1.00494384765625,1.105495810508728
76.0,1.0049411058425903,1.1054818630218506
77.0,1.0049386024475098,1.1054694652557373
78.0,1.0049360990524292,1.105456829071045
79.0,1.0049339532852173,1.1054456233978271
80.0,1.0049315690994263,1.105433702468872
81.0,1.0049296617507935,1.1054236888885498
82.0,1.004927158355713,1.105412244796753
83.0,1.0049248933792114,1.1053998470306396
84.0,1.004922866821289,1.1053889989852905
85.0,1.0049207210540771,1.1053779125213623
86.0,1.0049186944961548,1.1053669452667236
87.0,1.0049165487289429,1.105355978012085
88.0,1.0049147605895996,1.105346441268921
89.0,1.0049132108688354,1.1053388118743896
90.0,1.0049110651016235,1.1053270101547241
91.0,1.0049091577529907,1.105316400527954
92.0,1.0049076080322266,1.105307936668396
93.0,1.004906177520752,1.1053003072738647
94.0,1.0049046277999878,1.1052919626235962
95.0,1.0049033164978027,1.1052844524383545
96.0,1.0049020051956177,1.1052772998809814
97.0,1.0049000978469849,1.1052671670913696
98.0,1.0048985481262207,1.1052579879760742
99.0,1.004896879196167,1.1052491664886475
100.0,1.0048956871032715,1.1052415370941162
101.0,1.0048943758010864,1.1052345037460327
102.0,1.0048930644989014,1.1052277088165283
103.0,1.0048917531967163,1.105220079421997
104.0,1.0048906803131104,1.1052137613296509
105.0,1.0048896074295044,1.1052080392837524
106.0,1.004888653755188,1.1052026748657227
107.0,1.0048874616622925,1.1051967144012451
108.0,1.004886269569397,1.105189323425293
109.0,1.004885196685791,1.1051833629608154
110.0,1.0048843622207642,1.1051785945892334
111.0,1.0048832893371582,1.105172872543335
112.0,1.004882574081421,1.105168104171753
113.0,1.004881501197815,1.1051632165908813
114.0,1.004880428314209,1.1051560640335083
115.0,1.0048794746398926,1.1051504611968994
116.0,1.0048785209655762,1.10514497756958
117.0,1.0048778057098389,1.1051404476165771
118.0,1.0048770904541016,1.105136513710022
119.0,1.0048763751983643,1.1051316261291504
120.0,1.0048754215240479,1.1051267385482788
121.0,1.0048747062683105,1.1051219701766968
122.0,1.0048739910125732,1.1051180362701416
123.0,1.004873275756836,1.1051139831542969
124.0,1.0048726797103882,1.1051101684570312
125.0,1.0048720836639404,1.105107069015503
126.0,1.0048714876174927,1.1051034927368164
127.0,1.0048710107803345,1.1051006317138672
