epoch,train_loss,validation_loss
1.0,1.3352465629577637,1.8482102155685425
2.0,1.334902286529541,1.84770667552948
3.0,1.3345668315887451,1.8472131490707397
4.0,1.3342382907867432,1.8467262983322144
5.0,1.3339498043060303,1.8463013172149658
6.0,1.3337113857269287,1.8459625244140625
7.0,1.3334858417510986,1.845649242401123
8.0,1.3332607746124268,1.8453385829925537
9.0,1.3330491781234741,1.8450580835342407
10.0,1.332839012145996,1.8447837829589844
11.0,1.3326528072357178,1.8445608615875244
12.0,1.3324661254882812,1.8443387746810913
13.0,1.3322854042053223,1.8441333770751953
14.0,1.332106590270996,1.8439369201660156
15.0,1.3319296836853027,1.8437432050704956
16.0,1.3317549228668213,1.8435574769973755
17.0,1.331575870513916,1.8433681726455688
18.0,1.331404447555542,1.843201756477356
19.0,1.3312342166900635,1.8430449962615967
20.0,1.3310766220092773,1.8429203033447266
21.0,1.330923080444336,1.8428013324737549
22.0,1.3307759761810303,1.8427019119262695
23.0,1.3306303024291992,1.8426153659820557
24.0,1.3304831981658936,1.8425275087356567
25.0,1.330343246459961,1.8424533605575562
26.0,1.3302078247070312,1.8423928022384644
27.0,1.3300665616989136,1.8423267602920532
28.0,1.3299171924591064,1.842245101928711
29.0,1.329768419265747,1.842170000076294
30.0,1.3296184539794922,1.8420979976654053
31.0,1.3294720649719238,1.8420345783233643
32.0,1.3293209075927734,1.8419685363769531
33.0,1.3291714191436768,1.8419119119644165
34.0,1.3290224075317383,1.841860055923462
35.0,1.328863263130188,1.8417978286743164
36.0,1.3286983966827393,1.8417279720306396
37.0,1.3285269737243652,1.8416510820388794
38.0,1.3283525705337524,1.8415594100952148
39.0,1.3281846046447754,1.8414794206619263
40.0,1.3280165195465088,1.8414034843444824
41.0,1.3278427124023438,1.841322660446167
42.0,1.3276695013046265,1.8412529230117798
43.0,1.327493667602539,1.8411848545074463
44.0,1.3273100852966309,1.8411144018173218
45.0,1.3271256685256958,1.8410521745681763
46.0,1.3269424438476562,1.840990662574768
47.0,1.3267565965652466,1.8409380912780762
48.0,1.3265626430511475,1.840874433517456
49.0,1.3263630867004395,1.8408117294311523
50.0,1.3261559009552002,1.840741515159607
51.0,1.3259493112564087,1.840680480003357
52.0,1.3257451057434082,1.8406227827072144
53.0,1.3255393505096436,1.8405731916427612
54.0,1.3253376483917236,1.8405218124389648
55.0,1.3251348733901978,1.8404780626296997
56.0,1.3249273300170898,1.8404383659362793
57.0,1.324720859527588,1.84040367603302
58.0,1.3245083093643188,1.840372920036316
59.0,1.3242838382720947,1.8403379917144775
60.0,1.324059247970581,1.8403105735778809
61.0,1.3238303661346436,1.840284824371338
62.0,1.3235971927642822,1.8402628898620605
63.0,1.3233604431152344,1.8402446508407593
64.0,1.3231134414672852,1.8402249813079834
65.0,1.322864294052124,1.8402111530303955
66.0,1.3226066827774048,1.8401998281478882
67.0,1.322340488433838,1.8401908874511719
68.0,1.3220717906951904,1.8401833772659302
69.0,1.3218023777008057,1.8401744365692139
70.0,1.3215261697769165,1.8401663303375244
71.0,1.3212472200393677,1.8401600122451782
72.0,1.3209607601165771,1.8401545286178589
73.0,1.3206682205200195,1.840149998664856
74.0,1.320364236831665,1.8401473760604858
75.0,1.3200476169586182,1.8401458263397217
76.0,1.319711685180664,1.840145468711853
77.0,1.3193587064743042,1.8401449918746948
78.0,1.3190035820007324,1.8401448726654053
79.0,1.31864333152771,1.8401446342468262
80.0,1.3182731866836548,1.840144395828247
81.0,1.3178999423980713,1.8401442766189575
82.0,1.3175188302993774,1.8401437997817993
83.0,1.3171286582946777,1.8401435613632202
84.0,1.316734790802002,1.8401437997817993
85.0,1.316331148147583,1.8401446342468262
86.0,1.3159143924713135,1.8401464223861694
87.0,1.3154819011688232,1.8401479721069336
88.0,1.3150458335876465,1.8401508331298828
89.0,1.3146040439605713,1.8401539325714111
90.0,1.3141515254974365,1.840158462524414
91.0,1.3136839866638184,1.8401646614074707
92.0,1.3131992816925049,1.840169906616211
93.0,1.312690258026123,1.8401743173599243
94.0,1.3121635913848877,1.8401787281036377
95.0,1.3116339445114136,1.8401830196380615
96.0,1.311085820198059,1.8401862382888794
97.0,1.3105237483978271,1.8401890993118286
98.0,1.3099405765533447,1.8401877880096436
99.0,1.3093453645706177,1.840186595916748
100.0,1.308725118637085,1.8401857614517212
101.0,1.3080848455429077,1.8401856422424316
102.0,1.3074262142181396,1.8401854038238525
103.0,1.306748628616333,1.8401849269866943
104.0,1.306044101715088,1.8401834964752197
105.0,1.30531907081604,1.8401837348937988
106.0,1.3045912981033325,1.8401825428009033
107.0,1.3038330078125,1.8401823043823242
108.0,1.3030567169189453,1.8401825428009033
